capital,country,latitude,longitude
Brasilia,Brazil,-15.783333333333333,-47.916667
Nouakchott,Mauritania,18.066666666666666,-15.966667000000001
Bern,Switzerland,46.91666666666666,7.466667
Zagreb,Croatia,45.8,16.0
Cairo,Egypt,30.05,31.25
Sanaa,Yemen,15.35,44.2
Helsinki,Finland,60.16666666666666,24.933332999999998
Addis Ababa,Ethiopia,9.033333333333333,38.7
Prague,Czech Republic,50.08333333333334,14.466667000000001
Maseru,Lesotho,-29.316666666666666,27.483333000000002
Antananarivo,Madagascar,-18.916666666666668,47.516667
Ashgabat,Turkmenistan,37.95,58.38333299999999
Tashkent,Uzbekistan,41.31666666666667,69.25
Kingstown,Saint Vincent and the Grenadines,13.133333333333333,-61.216667
Roseau,Dominica,15.3,-61.4
Tunis,Tunisia,36.8,10.183333
Niamey,Niger,13.516666666666667,2.1166669999999996
Dublin,Ireland,53.31666666666667,-6.233333
Port-au-Prince,Haiti,18.53333333333333,-72.333333
Lima,Peru,-12.05,-77.05
San Salvador,El Salvador,13.7,-89.2
Sofia,Bulgaria,42.68333333333333,23.316667000000002
Guatemala City,Guatemala,14.616666666666667,-90.516667
Rabat,Morocco,34.016666666666666,-6.816667
Brussels,Belgium,50.83333333333334,4.3333330000000005
Ankara,Turkey,39.93333333333333,32.866667
Wellington,New Zealand,-41.3,174.783333
George Town,Cayman Islands,19.3,-81.383333
Tripoli,Libya,32.88333333333333,13.166667000000002
Nuku'alofa,Tonga,-21.133333333333333,-175.2
Yaounde,Cameroon,3.8666666666666663,11.516667
Luxembourg,Luxembourg,49.6,6.116667
Kigali,Rwanda,-1.95,30.05
Panama City,Panama,8.966666666666667,-79.533333
Phnom Penh,Cambodia,11.55,104.91666699999999
Kyiv,Ukraine,50.43333333333333,30.516666999999998
Asmara,Eritrea,15.333333333333336,38.933333000000005
Amman,Jordan,31.95,35.933333000000005
Algiers,Algeria,36.75,3.05
Jamestown,Saint Helena,-15.933333333333335,-5.716667
Accra,Ghana,5.55,-0.216667
Georgetown,Guyana,6.8,-58.15
London,United Kingdom,51.5,-0.083333
Suva,Fiji,-18.133333333333333,178.416667
Djibouti,Djibouti,11.583333333333336,43.15
Thimphu,Bhutan,27.466666666666665,89.633333
Oslo,Norway,59.91666666666666,10.75
Bissau,Guinea-Bissau,11.85,-15.583332999999998
The Valley,Anguilla,18.216666666666665,-63.05
Damascus,Syria,33.5,36.3
Tehran,Iran,35.7,51.416667
Vientiane,Laos,17.966666666666665,102.6
Malabo,Equatorial Guinea,3.75,8.783333
Abu Dhabi,United Arab Emirates,24.466666666666665,54.36666700000001
Monrovia,Liberia,6.3,-10.8
Washington D.C.,United States,38.883333,-77.0
Santo Domingo,Dominican Republic,18.466666666666665,-69.9
Praia,Cape Verde,14.916666666666664,-23.516667
Chisinau,Moldova,47.0,28.85
Belmopan,Belize,17.25,-88.766667
Melekeok,Palau,7.4833333333333325,134.633333
Baghdad,Iraq,33.333333333333336,44.4
Majuro,Marshall Islands,7.1,171.383333
Muscat,Oman,23.61666666666667,58.583332999999996
Kabul,Afghanistan,34.516666666666666,69.18333299999999
Paramaribo,Suriname,5.833333333333332,-55.166667000000004
Reykjavik,Iceland,64.15,-21.95
Madrid,Spain,40.4,-3.683333
Athens,Greece,37.98333333333333,23.733333
Beijing,China,39.91666666666666,116.38333300000001
Tokyo,Japan,35.68333333333333,139.75
Noumea,New Caledonia,-22.266666666666666,166.45
San Jose,Costa Rica,9.933333333333334,-84.083333
Lusaka,Zambia,-15.416666666666664,28.283333000000002
Abuja,Nigeria,9.083333333333334,7.533333
Lisbon,Portugal,38.71666666666667,-9.133333
Bogota,Colombia,4.6,-74.083333
Taipei,Taiwan,25.03333333333333,121.516667
Bujumbura,Burundi,-3.3666666666666667,29.35
Montevideo,Uruguay,-34.85,-56.166667000000004
Gaborone,Botswana,-24.63333333333333,25.9
Riga,Latvia,56.95,24.1
Baku,Azerbaijan,40.38333333333333,49.866667
Papeete,French Polynesia,-17.533333333333335,-149.566667
Ouagadougou,Burkina Faso,12.366666666666667,-1.516667
Hanoi,Vietnam,21.03333333333333,105.85
Male,Maldives,4.166666666666667,73.5
Moroni,Comoros,-11.7,43.233333
Porto-Novo,Benin,6.4833333333333325,2.6166669999999996
Ottawa,Canada,45.41666666666666,-75.7
Stockholm,Sweden,59.33333333333334,18.05
Singapore,Singapore,1.2833333333333332,103.85
Windhoek,Namibia,-22.566666666666666,17.083333
Dhaka,Bangladesh,23.716666666666665,90.4
Mogadishu,Somalia,2.066666666666667,45.333333
Victoria,Seychelles,-4.616666666666667,55.45
Rome,Italy,41.9,12.483333
Vaduz,Liechtenstein,47.13333333333333,9.516667
Maputo,Mozambique,-25.95,32.583333
Libreville,Gabon,0.38333333333333336,9.45
Dakar,Senegal,14.733333333333333,-17.633333
Port Louis,Mauritius,-20.15,57.483332999999995
Bridgetown,Barbados,13.1,-59.61666700000001
Ulaanbaatar,Mongolia,47.91666666666666,106.91666699999999
Tbilisi,Georgia,41.68333333333333,44.833333
Saint George's,Grenada,12.05,-61.75
Tegucigalpa,Honduras,14.1,-87.216667
Castries,Saint Lucia,14.0,-61.0
Hamilton,Bermuda,32.28333333333333,-64.783333
Kampala,Uganda,0.31666666666666665,32.55
Riyadh,Saudi Arabia,24.65,46.7
Bishkek,Kyrgyzstan,42.86666666666667,74.6
San Juan,Puerto Rico,18.466666666666665,-66.116667
Vienna,Austria,48.2,16.366667
Havana,Cuba,23.11666666666667,-82.35
Ljubljana,Slovenia,46.05,14.516667000000002
Moscow,Russia,55.75,37.6
Kuala Lumpur,Malaysia,3.1666666666666665,101.7
Amsterdam,Netherlands,52.35,4.9166669999999995
Oranjestad,Aruba,12.516666666666667,-70.033333
Santiago,Chile,-33.45,-70.666667
Warsaw,Poland,52.25,21.0
Caracas,Venezuela,10.483333333333333,-66.866667
Manila,Philippines,14.6,120.96666699999999
Manama,Bahrain,26.23333333333333,50.566666999999995
Conakry,Guinea,9.5,-13.7
Harare,Zimbabwe,-17.816666666666666,31.033333000000002
La Paz,Bolivia,-16.5,-68.15
Kuwait City,Kuwait,29.36666666666667,47.966667
Budapest,Hungary,47.5,19.083333
Jerusalem,Israel,31.766666666666666,35.233333
Paris,France,48.86666666666667,2.333333
Tirana,Albania,41.31666666666667,19.816667000000002
Yerevan,Armenia,40.16666666666666,44.5
Tallinn,Estonia,59.43333333333333,24.716667
Dar es Salaam,Tanzania,-6.8,39.283333
Quito,Ecuador,-0.21666666666666667,-78.5
Copenhagen,Denmark,55.66666666666666,12.583333
Bucharest,Romania,44.43333333333333,26.1
Lome,Togo,6.116666666666666,1.216667
Vilnius,Lithuania,54.68333333333333,25.316667000000002
Bangkok,Thailand,13.75,100.516667
Kingston,Jamaica,18.0,-76.8
Mexico City,Mexico,19.433333333333334,-99.133333
Berlin,Germany,52.51666666666666,13.4
New Delhi,India,28.6,77.2
Managua,Nicaragua,12.133333333333333,-86.25
Colombo,Sri Lanka,6.916666666666668,79.833333
Hagatna,Guam,13.466666666666667,144.73333300000002
Nairobi,Kenya,-1.2833333333333332,36.816666999999995
Buenos Aires,Argentina,-34.583333333333336,-58.666667000000004
Khartoum,Sudan,15.6,32.533333
Canberra,Australia,-35.266666666666666,149.133333
Doha,Qatar,25.28333333333333,51.533333
Mbabane,Swaziland,-26.316666666666666,31.133333
Port-Vila,Vanuatu,-17.733333333333334,168.316667
Port Moresby,Papua New Guinea,-9.45,147.183333
Apia,Samoa,-13.816666666666665,-171.76666699999998
Bamako,Mali,12.65,-8.0
Kathmandu,Nepal,27.716666666666665,85.31666700000001
N'Djamena,Chad,12.1,15.033332999999999
San Marino,San Marino,43.93333333333333,12.416667
Astana,Kazakhstan,51.16666666666666,71.416667
Minsk,Belarus,53.9,27.566667
Monaco,Monaco,43.73333333333333,7.4166669999999995
Pretoria,South Africa,-25.7,28.216666999999998
Valletta,Malta,35.88333333333333,14.5
Lilongwe,Malawi,-13.966666666666667,33.783333
Freetown,Sierra Leone,8.483333333333333,-13.233332999999998
Yamoussoukro,Cote d'Ivoire,6.816666666666666,-5.266667
Islamabad,Pakistan,33.68333333333333,73.05
Beirut,Lebanon,33.86666666666667,35.5
Asuncion,Paraguay,-25.266666666666666,-57.666667000000004
Jakarta,Indonesia,-6.166666666666668,106.816667
Dushanbe,Tajikistan,38.55,68.766667
