area,birth-rate,coastline,continent,country,death-rate,gdp-per-capita,infant-mortality,literacy,net-migration,phones,population,region
756950,15.23,0.85,South America,Chile,5.8100000000000005,9900,8.8,"96,2",0.0,"213,0",16134219,LATIN AMER. & CARIB
665,17.8,24.21,Asia,Bahrain,4.14,16900,17.27,"89,1",1.05,"281,3",698585,NEAR EAST
22966,28.84,1.6800000000000002,North America,Belize,5.72,4900,25.69,"94,1",0.0,"115,7",287730,LATIN AMER. & CARIB
582650,39.72,0.09,Africa,Kenya,14.02,1000,61.47,"85,1",-0.1,"8,1",34707817,SUB-SAHARAN AFRICA
11854,33.05,3.12,Australia,Marshall Islands,4.78,1600,29.45,"93,7",-6.04,"91,2",60422,OCEANIA
111370,44.77,0.52,Africa,Liberia,23.1,1000,128.87,"57,5",0.0,"2,3",3042004,SUB-SAHARAN AFRICA
504782,10.06,0.98,Europe,Spain,9.72,22000,4.42,"97,9",0.99,"453,5",40397842,WESTERN EUROPE
65610,15.51,2.04,Asia,Sri Lanka,6.52,3700,14.35,"92,3",-1.31,"61,5",20222240,ASIA (EX. NEAR EAST)
212460,36.24,0.98,Asia,Oman,3.81,13100,19.51,"75,8",0.28,"85,5",3102229,NEAR EAST
316,10.22,62.28,Europe,Malta,8.1,17700,3.89,"92,8",2.07,"505,0",400214,WESTERN EUROPE
185180,27.76,0.1,Asia,Syria,4.8100000000000005,3300,29.53,"76,9",0.0,"153,8",18881361,NEAR EAST
1759540,26.49,0.1,Africa,Libya,3.48,6400,24.6,"82,6",0.0,"127,1",5900754,NORTHERN AFRICA
752614,41.0,0.0,Africa,Zambia,19.93,800,88.29,"80,6",0.0,"8,2",11502010,SUB-SAHARAN AFRICA
10991,20.82,9.3,North America,Jamaica,6.52,3900,12.36,"87,9",-4.92,"124,0",2758124,LATIN AMER. & CARIB
447400,26.36,0.0,Asia,Uzbekistan,7.84,1700,71.1,"99,3",-1.72,"62,9",27307134,C.W. OF IND. STATES
322460,35.11,0.16,Africa,Cote d'Ivoire,14.84,1400,90.83,"50,9",-0.07,"14,6",17654843,SUB-SAHARAN AFRICA
61,10.02,0.0,Europe,San Marino,8.17,34600,5.73,"96,0",10.98,"704,3",29251,WESTERN EUROPE
488100,27.61,0.0,Asia,Turkmenistan,8.6,5800,73.08,"98,0",-0.86,"74,6",5042920,C.W. OF IND. STATES
33843,15.7,0.0,Europe,Moldova,12.64,1800,40.42,"99,1",-0.26,"208,1",4466706,C.W. OF IND. STATES
28748,15.11,1.26,Europe,Albania,5.22,4500,21.52,"86,5",-4.93,"71,2",3581655,EASTERN EUROPE
53,11.4,194.34,North America,Bermuda,7.74,36000,8.53,"98,0",2.49,"851,4",65773,NORTHERN AMERICA
803940,29.74,0.13,Asia,Pakistan,8.23,2100,72.44,"45,7",-2.77,"31,8",165803560,ASIA (EX. NEAR EAST)
30528,10.38,0.22,Europe,Belgium,10.27,29100,4.68,"98,0",1.23,"462,6",10379067,WESTERN EUROPE
47000,33.65,0.0,Asia,Bhutan,12.7,1300,100.44,"42,2",0.0,"14,3",2279723,ASIA (EX. NEAR EAST)
587040,41.41,0.8200000000000001,Africa,Madagascar,11.11,800,76.83,"68,9",0.0,"3,6",18595469,SUB-SAHARAN AFRICA
17363,27.41,0.0,Africa,Swaziland,29.74,4900,69.27,"81,6",0.0,"30,8",1136334,SUB-SAHARAN AFRICA
4167,16.68,60.6,Australia,French Polynesia,4.69,17500,8.44,"98,0",2.94,"194,5",274578,OCEANIA
64589,9.24,0.8200000000000001,Europe,Latvia,13.66,10200,9.55,"99,8",-2.23,"321,4",2274735,BALTICS
93030,9.72,0.0,Europe,Hungary,13.11,13900,8.57,"99,4",0.86,"336,2",9981334,EASTERN EUROPE
693,9.34,27.85,Asia,Singapore,4.28,23700,2.29,"92,5",11.53,"411,4",4492150,ASIA (EX. NEAR EAST)
160,10.21,0.0,Europe,Liechtenstein,7.18,25000,4.7,"100,0",4.85,"585,5",33987,WESTERN EUROPE
389,16.18,21.59,North America,Saint Vincent and the Grenadines,5.98,2900,14.78,"96,0",-7.64,"190,9",117848,LATIN AMER. & CARIB
69700,10.41,0.44,Europe,Georgia,9.23,2500,18.59,"99,0",-4.7,"146,6",4661473,C.W. OF IND. STATES
600370,23.08,0.0,Africa,Botswana,29.5,9000,54.58,"79,8",0.0,"80,5",1639833,SUB-SAHARAN AFRICA
2040,15.43,8.68,Africa,Mauritius,6.86,11400,15.03,"85,6",-0.9,"289,3",1240827,SUB-SAHARAN AFRICA
214970,18.28,0.21,South America,Guyana,8.28,4000,33.26,"98,8",-2.07,"143,5",767245,LATIN AMER. & CARIB
29800,12.07,0.0,Europe,Armenia,8.23,3500,23.28,"98,6",-6.47,"195,7",2976372,C.W. OF IND. STATES
110860,11.89,3.37,North America,Cuba,7.22,2900,6.33,"97,0",-1.58,"74,7",11382820,LATIN AMER. & CARIB
377835,9.37,7.87,Asia,Japan,9.16,28200,3.26,"99,0",0.0,"461,2",127463611,ASIA (EX. NEAR EAST)
780580,16.62,0.92,Europe,Turkey,5.97,6700,41.04,"86,5",0.0,"269,5",70413958,NEAR EAST
446550,21.98,0.41000000000000003,Africa,Morocco,5.58,4000,41.62,"51,7",-0.98,"40,4",33241259,NORTHERN AFRICA
35980,12.56,4.35,Asia,Taiwan,6.48,23400,6.4,"96,1",0.0,"591,0",23036087,ASIA (EX. NEAR EAST)
616,19.68,25.65,North America,Saint Lucia,5.08,5400,13.53,"67,0",-2.67,"303,3",168458,LATIN AMER. & CARIB
1138910,20.48,0.28,South America,Colombia,5.58,6300,20.97,"92,5",-0.31,"176,2",43593035,LATIN AMER. & CARIB
56542,9.61,10.32,Europe,Croatia,11.48,10600,6.84,"98,5",1.58,"420,4",4494749,EASTERN EUROPE
26338,40.37,0.0,Africa,Rwanda,16.09,1300,91.23,"70,4",0.0,"2,7",8648248,SUB-SAHARAN AFRICA
1030700,40.99,0.07,Africa,Mauritania,12.16,1800,70.89,"41,7",0.0,"12,9",3177388,SUB-SAHARAN AFRICA
196190,32.78,0.27,Africa,Senegal,9.42,1600,55.51,"40,2",0.2,"22,2",11987121,SUB-SAHARAN AFRICA
9631420,14.14,0.21,North America,United States,8.26,37800,6.5,"97,0",3.41,"898,0",298444215,NORTHERN AMERICA
102,14.17,59.8,North America,Anguilla,5.34,8600,21.03,"95,0",10.76,"460,0",13477,LATIN AMER. & CARIB
801590,35.18,0.31,Africa,Mozambique,21.35,1200,130.79,"47,8",0.0,"3,5",19686505,SUB-SAHARAN AFRICA
603700,8.82,0.46,Europe,Ukraine,14.39,5400,20.34,"99,7",-0.39,"259,9",46710816,C.W. OF IND. STATES
41290,9.71,0.0,Europe,Switzerland,8.49,32700,4.39,"99,0",4.05,"680,9",7523934,WESTERN EUROPE
147181,30.98,0.0,Asia,Nepal,9.31,1400,66.98,"45,2",0.0,"15,9",28287147,ASIA (EX. NEAR EAST)
268680,13.76,5.63,Australia,New Zealand,7.53,21600,5.85,"99,0",4.05,"441,7",4076140,OCEANIA
112620,38.85,0.11,Africa,Benin,12.22,1100,85.0,"40,9",0.0,"9,7",7862944,SUB-SAHARAN AFRICA
244820,10.71,5.08,Europe,United Kingdom,10.13,27700,5.16,"99,0",2.19,"543,5",60609153,WESTERN EUROPE
12200,22.72,20.72,Australia,Vanuatu,7.82,2900,55.16,"53,0",0.0,"32,6",208869,OCEANIA
92300,21.25,0.03,Asia,Jordan,2.65,4300,17.35,"91,3",6.59,"104,5",5906760,NEAR EAST
458,18.03,331.66,Australia,Palau,6.8,9000,14.84,"92,0",2.85,"325,6",20579,OCEANIA
2,9.19,205.0,Europe,Monaco,12.91,27000,5.43,"99,0",7.75,"1035,6",32543,WESTERN EUROPE
1960582,29.34,0.13,Asia,Saudi Arabia,2.58,11800,13.24,"78,8",-2.71,"140,6",27019731,NEAR EAST
344,22.08,35.17,North America,Grenada,6.88,5000,14.62,"98,0",-13.92,"364,5",89703,LATIN AMER. & CARIB
